,0
3856,Mahindra is best then other tractors because this tractor needs less fuel than others and have durability to work in farm's. I m owner of two tractors mahindra and John-deear
3857,Paid
3858,Bhai arjun 755 4wd ke bare me bathavo
3859,John Deere 3036E... The best. Same work
3860,What a smooth road ...
3861,Price kay he Sir jee
3862,Mahindra yuvo 475 ka power steering Nahin kam nahi kar hai Kaise repair Karen
3863,Sir hame mahindra arjun novo 605dims model chahiye odisha me plz help
3864,Mahindra all kampani hi sabse best h supar se bhi upar h
3865,Nice
3866,Na vanga poran💥💥
3867,1 ghante me kitna liter diesel leta h kaltivetar me
3868,Super
3869,Sala bakwas mar da na
3870,Only 1 peas saly  hahaha lest harpeet have sonalike haha
3871,Bai ji chatri te Holland vale ve dinde qqq
3872,Iski milage kaisi hai?
3873,Price kitna hai
3874,maileg  kitna Deta h
3875,Torque? PTO HP?
3876,ऐव्हरेज काय आहे?
3877,tractor to sirf john deere banata hai baki sab to tin ke dibbe hai
3878,mahindra tractor sabse ghatiya quality ke ate hai
3879,महिंद्रा 275 T U 39Hp सरपंच मॉडल पर पावर हैरो चल कितना फीट का चलेगा इसकी जानकारी दें
3880,MRP kitni hi bhaisab
3881,Bhai kyse order kre hme lena h
3882,Kya yah decoration agency hoti hai
3883,Asi v new leaa 555 arjun sadi interview  kro
3884,Price 4.5 Lack
3885,Kubota is the best ....
3886,Hmt8022💪💪💪
3887,Sp plus series me 585 sp plus kab tak anewala hai
3888,Mahindra all tractors best 🚜💫
3889,on
3890,Bhai ye 37 hp ka tractor hey
3891,Iska mileage kitna he cultivator me
3892,Bhola
3893,475 yuvo में 4wd कब लॉन्च हो रहा है
3894,Aapa kol v 655 aa
3895,👌🏼👌🏼👌🏼
3896,Visakhapatnam lo on road price chapadi
3897,डीज़ल कितना leta he
3898,मेस्त्री कूर भागातील आहे की काय?
3899,हल कौनसे गियर में चलते है इसमें
3900,Mahindra is warld claas
3901,I love mahindra
3902,Novo ki luk ko 585 xp ➕ wali karo please
3903,Mahindra Arjun novo best hain
3904,"Mere pass  mahindra 415 Di he  
Haidhrlike problem he  Kay karu
Help me 9625102525"
3905,Ac cabin me aatahe
3906,Price
3907,Mahindra no 1 tractor
3908,"Apne kol vi 655 aa,"
3909,"Mera Gao
Mera Desh
Mera Mahindra"
3910,On road price in benglore
3911,"Mahindra jivo 
      👇
https://youtu.be/QZGs4vC7bKQ"
3912,I Love mahindra tractors.
3913,Mahindra 💪 💪
3914,Nice
3915,Muje bhi chahiye tractor Kya free me milega ? me  ye saval mahan Mahindra campani ko puchhuta hu..... Keep answer me ....mere pas Etna paisa nahi hai ki me kharid saku
3916,1 hour mileage?
3917,Bus advance h bake bakwas.swaraj lo unlimited life
3918,Bhai tractor swaraj he lena
3919,Flag Toh India ka Lagana Tha
3920,Mahindra 575 sarpanch the best tractor 👍
3921,Superb bro 👌💯
3922,963 le ya 605 koi btao??
3923,57 hp
3924,855 is best
3925,Arjun ultra 1 605 di ka bonet bahut hilta ha
3926,"Mahindra best h 👍
https://youtu.be/RdUCEdo8nM0"
3927,आम्हाल महिंद्रा यूओ 575  4×4 ची माहिती पाहिजेत
3928,"Mahindra jivo 225 
            👇👇
https://youtu.be/QZGs4vC7bKQ"
3929,"Mahindra jivo 225 di
                 

             👇👇👇

https://youtu.be/QZGs4vC7bKQ"
3930,Mahenbra  605   M  9587952035
3931,Itno
3932,👎👎
3933,Good
3934,Ek kami hai
3935,Hi bro
3936,Agar apko cultivater Chala na hai to app massy Ferguson le.
3937,Ye tractor cultivater me accha kam nahi karta tractor vahi pe mitti me gumta hai.mere pas bhi ye tractor hai.
3938,👌👌
3939,Mahindra king to tab banega jab mahindra 575 xp plus four wheel me ayega
3940,"Mahindra jivo 👇👇👇
https://youtu.be/QZGs4vC7bKQ"
3941,👌👌👌❤❤❤
3942,"Mahindra jivo 225 di  👇👇👇
https://youtu.be/QZGs4vC7bKQ"
3943,"Mahindra jivo
          
          👇👇👇👇👇👇👇
https://youtu.be/QZGs4vC7bKQ"
3944,"Mahindra jivo  👇👇
https://youtu.be/QZGs4vC7bKQ"
3945,"Mahindra jivo 225 di 
New model
https://youtu.be/QZGs4vC7bKQ"
3946,सिफान बिल्डिंग मैटीरियल सप्लायर हमारे यहाँ पर पत्थर रोडी डेस्ट बजरी उचित रेट पर मिलता हैं ओडेला माणकी रामगढ अलवर राजस्थान जेसीबी से कार्य भी किया जाता है (8890395934)(8690571616)
3947,सिफान बिल्डिंग मैटीरियल सप्लायर हमारे यहाँ पर पत्थर रोडी डेस्ट बजरी उचित रेट पर मिलता हैं ओडेला माणकी रामगढ अलवर राजस्थान जेसीबी से कार्य भी किया जाता है (8890395934)(8690571616)
3948,सिफान बिल्डिंग मैटीरियल सप्लायर हमारे यहाँ पर पत्थर रोडी डेस्ट बजरी उचित रेट पर मिलता हैं ओडेला रामगढ अलवर राजस्थान जेसीबी से कार्य भी किया जाता है (8890395934)(8690571616)
3949,सिफान बिल्डिंग मैटीरियल सप्लायर हमारे यहाँ पर पत्थर रोडी डेस्ट बजरी उचित रेट पर मिलता हैं ओडेला माणकी रामगढ अलवर राजस्थान जेसीबी से कार्य भी किया जाता है (8890395934)(8690571616)
3950,सिफान बिल्डिंग मैटीरियल सप्लायर हमारे यहाँ पर पत्थर रोडी डेस्ट बजरी उचित रेट पर मिलता हैं ओडेला माणकी रामगढ अलवर राजस्थान जेसीबी से कार्य भी किया जाता है (8890395934)(8690571616)
3951,सिफान बिल्डिंग मैटीरियल सप्लायर हमारे यहाँ पर पत्थर रोडी डेस्ट बजरी उचित रेट पर मिलता हैं ओडेला माणकी रामगढ अलवर राजस्थान जेसीबी से कार्य भी किया जाता है (8690571616)(8890395934)
3952,2 years experience sabse best h yuvo
3953,🔥
3954,तब भी आपने एक्सपी प्लस सीरीज में साइड शिफ्टवेयर नहीं दिया
3955,"Dear Mahindra            Because of  this exciting feature ( Position Auto control) of JIVO 365 tractor,I brought this machine in March 2019. Mahindra claims “with PAC, the Rotavator can automatically adjust the puddling depth, without any need for adjustment to PC  lever”. For a tractor driver/ farmer this feature matters more. Later I realized this feature is bogus. After repeated complaints technical staff from direct Mahindra came for inspection after 3 months from delivery .  But they were not able to rectify the same. Still the complaint stays  unrectified. Another thing , parts are not available for this machine. For the last one month the machine is with dealer work shop . For every part we have to wait  for it to reach from the plant -dealer says.  For every repair/ service I need to stall the machine for min 30 days.  How can I move ahead with this machine. Request Mahindra either to  refund me or to demonstrate the automated working of  rotavator.  Transmission oil leakage,  engine over heating, front differential oil leakage are  extra benefits for me .  Dear Mahindra ..for you it is first time  revolutionary technology in our country and revenue, but for me loss of money and  feels like getting cheated .Financier for this machine is Mahindra Finance. So you earn  two revenue. As a farmer I request / wish to get my money back , and I believe i will,  because I am sharing my grievance to an industrialist not to a business man.                                                                      Posted on 18.09.2020.   Kerala . 9947649776"
3956,"Dear Mahindra            Because of  this exciting feature ( Position Auto control) of JIVO 365 tractor,I brought this machine in March 2019. Mahindra claims “with PAC, the Rotavator can automatically adjust the puddling depth, without any need for adjustment to PC  lever”. For a tractor driver/ farmer this feature matters more. Later I realized this feature is bogus. After repeated complaints technical staff from direct Mahindra came for inspection after 3 months from delivery .  But they were not able to rectify the same. Still the complaint stays  unrectified. Another thing , parts are not available for this machine. For the last one month the machine is with dealer work shop . For every part we have to wait  for it to reach from the plant -dealer says.  For every repair/ service I need to stall the machine for min 30 days.  How can I move ahead with this machine. Request Mahindra either to  refund me or to demonstrate the automated working of  rotavator.  Transmission oil leakage,  engine over heating, front differential oil leakage are  extra benefits for me .  Dear Mahindra ..for you it is first time  revolutionary technology in our country and revenue, but for me loss of money and  feels like getting cheated .Financier for this machine is Mahindra Finance. So you earn  two revenue. As a farmer I request / wish to get my money back , and I believe i will,  because I am sharing my grievance to an industrialist not to a business man.                                                                      Posted on 18.09.2020.   Kerala . 9947649776"
3957,"Dear Mahindra            Because of  this exciting feature ( Position Auto control) of JIVO 365 tractor,I brought this machine in March 2019. Mahindra claims “with PAC, the Rotavator can automatically adjust the puddling depth, without any need for adjustment to PC  lever”. For a tractor driver/ farmer this feature matters more. Later I realized this feature is bogus. After repeated complaints technical staff from direct Mahindra came for inspection after 3 months from delivery .  But they were not able to rectify the same. Still the complaint stays  unrectified. Another thing , parts are not available for this machine. For the last one month the machine is with dealer work shop . For every part we have to wait  for it to reach from the plant -dealer says.  For every repair/ service I need to stall the machine for min 30 days.  How can I move ahead with this machine. Request Mahindra either to  refund me or to demonstrate the automated working of  rotavator.  Transmission oil leakage,  engine over heating, front differential oil leakage are  extra benefits for me .  Dear Mahindra ..for you it is first time  revolutionary technology in our country and revenue, but for me loss of money and  feels like getting cheated .Financier for this machine is Mahindra Finance. So you earn  two revenue. As a farmer I request / wish to get my money back , and I believe i will,  because I am sharing my grievance to an industrialist not to a business man.                                                                      Posted on 18.09.2020.   Kerala . 9947649776"
3958,"Dear Mahindra            Because of  this exciting feature ( Position Auto control) of JIVO 365 tractor,I brought this machine in March 2019. Mahindra claims “with PAC, the Rotavator can automatically adjust the puddling depth, without any need for adjustment to PC  lever”. For a tractor driver/ farmer this feature matters more. Later I realized this feature is bogus. After repeated complaints technical staff from direct Mahindra came for inspection after 3 months from delivery .  But they were not able to rectify the same. Still the complaint stays  unrectified. Another thing , parts are not available for this machine. For the last one month the machine is with dealer work shop . For every part we have to wait  for it to reach from the plant -dealer says.  For every repair/ service I need to stall the machine for min 30 days.  How can I move ahead with this machine. Request Mahindra either to  refund me or to demonstrate the automated working of  rotavator.  Transmission oil leakage,  engine over heating, front differential oil leakage are  extra benefits for me .  Dear Mahindra ..for you it is first time  revolutionary technology in our country and revenue, but for me loss of money and  feels like getting cheated .Financier for this machine is Mahindra Finance. So you earn  two revenue. As a farmer I request / wish to get my money back , and I believe i will,  because I am sharing my grievance to an industrialist not to a business man.                                                                      Posted on 18.09.2020.   Kerala . 9947649776"
3959,"Dear Mahindra            Because of  this exciting feature ( Position Auto control) of JIVO 365 tractor,I brought this machine in March 2019. Mahindra claims “with PAC, the Rotavator can automatically adjust the puddling depth, without any need for adjustment to PC  lever”. For a tractor driver/ farmer this feature matters more. Later I realized this feature is bogus. After repeated complaints technical staff from direct Mahindra came for inspection after 3 months from delivery .  But they were not able to rectify the same. Still the complaint stays  unrectified. Another thing , parts are not available for this machine. For the last one month the machine is with dealer work shop . For every part we have to wait  for it to reach from the plant -dealer says.  For every repair/ service I need to stall the machine for min 30 days.  How can I move ahead with this machine. Request Mahindra either to  refund me or to demonstrate the automated working of  rotavator.  Transmission oil leakage,  engine over heating, front differential oil leakage are  extra benefits for me .  Dear Mahindra ..for you it is first time  revolutionary technology in our country and revenue, but for me loss of money and  feels like getting cheated .Financier for this machine is Mahindra Finance. So you earn  two revenue. As a farmer I request / wish to get my money back , and I believe i will,  because I am sharing my grievance to an industrialist not to a business man.                                                                      Posted on 18.09.2020.   Kerala . 9947649776"
3960,Good
3961,Mahenbra 415    M9687952035
3962,कहने से तेल कम नहीं खाते तो के दवा करो यह चैलेंज करो नाप कर दिखाओ दिखाओ
3963,I love Mahindra tractor 575xp plus💪💪💪💪💪💪💪💪👍👍👍👍👍👍👍👌👌👌👌👌👌👌👌🌹🌹🌹🌹🌹🌹🌹🌹💐💐🌹🌹🌹🌹🌹🌹🇮🇳🇮🇳🇮🇳🇮🇳💐💐💐💐💐💐💐💐💐💐💐💐💐🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🌹🌹🌹🌹🌹🌹🌹🇮🇳🇮🇳🇮🇳🇮🇳💐💐💐🌹🌹🌹🌹🌹🌹🇮🇳🇮🇳🇮🇳💐💐💐💐🌹🌹🌹🌹🇮🇳🇮🇳🇮🇳💐💐🌹🌹🌹🇮🇳🌹🌹🇮🇳🌹🌹💐👌👌👌👍👍👍💪💪💪💪💪💪💪💪🇮🇳 hey Javan jay kisan jay Mahindra tractor
3964,"Dear Mahindra            Because of  this exciting feature ( Position Auto control) of JIVO 365 tractor,I brought this machine in March 2019. Mahindra claims “with PAC, the Rotavator can automatically adjust the puddling depth, without any need for adjustment to PC  lever”. For a tractor driver/ farmer this feature matters more. Later I realized this feature is bogus. After repeated complaints technical staff from direct Mahindra came for inspection after 3 months from delivery .  But they were not able to rectify the same. Still the complaint stays  unrectified. Another thing , parts are not available for this machine. For the last one month the machine is with dealer work shop . For every part we have to wait  for it to reach from the plant -dealer says.  For every repair/ service I need to stall the machine for min 30 days.  How can I move ahead with this machine. Request Mahindra either to  refund me or to demonstrate the automated working of  rotavator.  Transmission oil leakage,  engine over heating, front differential oil leakage are  extra benefits for me .  Dear Mahindra ..for you it is first time  revolutionary technology in our country and revenue, but for me loss of money and  feels like getting cheated .Financier for this machine is Mahindra Finance. So you earn  two revenue. As a farmer I request / wish to get my money back , and I believe i will,  because I am sharing my grievance to an industrialist not to a business man.                                                                      Posted on 18.09.2020.   Kerala . 9947649776"
3965,"Dear Mahindra            Because of  this exciting feature ( Position Auto control) of JIVO 365 tractor,I brought this machine in March 2019. Mahindra claims “with PAC, the Rotavator can automatically adjust the puddling depth, without any need for adjustment to PC  lever”. For a tractor driver/ farmer this feature matters more. Later I realized this feature is bogus. After repeated complaints technical staff from direct Mahindra came for inspection after 3 months from delivery .  But they were not able to rectify the same. Still the complaint stays  unrectified. Another thing , parts are not available for this machine. For the last one month the machine is with dealer work shop . For every part we have to wait  for it to reach from the plant -dealer says.  For every repair/ service I need to stall the machine for min 30 days.  How can I move ahead with this machine. Request Mahindra either to  refund me or to demonstrate the automated working of  rotavator.  Transmission oil leakage,  engine over heating, front differential oil leakage are  extra benefits for me .  Dear Mahindra ..for you it is first time  revolutionary technology in our country and revenue, but for me loss of money and  feels like getting cheated .Financier for this machine is Mahindra Finance. So you earn  two revenue. As a farmer I request / wish to get my money back , and I believe i will,  because I am sharing my grievance to an industrialist not to a business man.                                                                      Posted on 18.09.2020.   Kerala . 9947649776"
3966,"Dear Mahindra            Because of  this exciting feature ( Position Auto control) of JIVO 365 tractor,I brought this machine in March 2019. Mahindra claims “with PAC, the Rotavator can automatically adjust the puddling depth, without any need for adjustment to PC  lever”. For a tractor driver/ farmer this feature matters more. Later I realized this feature is bogus. After repeated complaints technical staff from direct Mahindra came for inspection after 3 months from delivery .  But they were not able to rectify the same. Still the complaint stays  unrectified. Another thing , parts are not available for this machine. For the last one month the machine is with dealer work shop . For every part we have to wait  for it to reach from the plant -dealer says.  For every repair/ service I need to stall the machine for min 30 days.  How can I move ahead with this machine. Request Mahindra either to  refund me or to demonstrate the automated working of  rotavator.  Transmission oil leakage,  engine over heating, front differential oil leakage are  extra benefits for me .  Dear Mahindra ..for you it is first time  revolutionary technology in our country and revenue, but for me loss of money and  feels like getting cheated .Financier for this machine is Mahindra Finance. So you earn  two revenue. As a farmer I request / wish to get my money back , and I believe i will,  because I am sharing my grievance to an industrialist not to a business man.                                                                      Posted on 18.09.2020.   Kerala . 9947649776"
3967,"Dear Mahindra            Because of  this exciting feature ( Position Auto control) of JIVO 365 tractor,I brought this machine in March 2019. Mahindra claims “with PAC, the Rotavator can automatically adjust the puddling depth, without any need for adjustment to PC  lever”. For a tractor driver/ farmer this feature matters more. Later I realized this feature is bogus. After repeated complaints technical staff from direct Mahindra came for inspection after 3 months from delivery .  But they were not able to rectify the same. Still the complaint stays  unrectified. Another thing , parts are not available for this machine. For the last one month the machine is with dealer work shop . For every part we have to wait  for it to reach from the plant -dealer says.  For every repair/ service I need to stall the machine for min 30 days.  How can I move ahead with this machine. Request Mahindra either to  refund me or to demonstrate the automated working of  rotavator.  Transmission oil leakage,  engine over heating, front differential oil leakage are  extra benefits for me .  Dear Mahindra ..for you it is first time  revolutionary technology in our country and revenue, but for me loss of money and  feels like getting cheated .Financier for this machine is Mahindra Finance. So you earn  two revenue. As a farmer I request / wish to get my money back , and I believe i will,  because I am sharing my grievance to an industrialist not to a business man.                                                                      Posted on 18.09.2020.   Kerala . 9947649776"
3968,"Dear Mahindra            Because of  this exciting feature ( Position Auto control) of JIVO 365 tractor,I brought this machine in March 2019. Mahindra claims “with PAC, the Rotavator can automatically adjust the puddling depth, without any need for adjustment to PC  lever”. For a tractor driver/ farmer this feature matters more. Later I realized this feature is bogus. After repeated complaints technical staff from direct Mahindra came for inspection after 3 months from delivery .  But they were not able to rectify the same. Still the complaint stays  unrectified. Another thing , parts are not available for this machine. For the last one month the machine is with dealer work shop . For every part we have to wait  for it to reach from the plant -dealer says.  For every repair/ service I need to stall the machine for min 30 days.  How can I move ahead with this machine. Request Mahindra either to  refund me or to demonstrate the automated working of  rotavator.  Transmission oil leakage,  engine over heating, front differential oil leakage are  extra benefits for me .  Dear Mahindra ..for you it is first time  revolutionary technology in our country and revenue, but for me loss of money and  feels like getting cheated .Financier for this machine is Mahindra Finance. So you earn  two revenue. As a farmer I request / wish to get my money back , and I believe i will,  because I am sharing my grievance to an industrialist not to a business man.                                                                      Posted on 18.09.2020.   Kerala . 9947649776"
3969,"Dear Mahindra            Because of  this exciting feature ( Position Auto control) of JIVO 365 tractor,I brought this machine in March 2019. Mahindra claims “with PAC, the Rotavator can automatically adjust the puddling depth, without any need for adjustment to PC  lever”. For a tractor driver/ farmer this feature matters more. Later I realized this feature is bogus. After repeated complaints technical staff from direct Mahindra came for inspection after 3 months from delivery .  But they were not able to rectify the same. Still the complaint stays  unrectified. Another thing , parts are not available for this machine. For the last one month the machine is with dealer work shop . For every part we have to wait  for it to reach from the plant -dealer says.  For every repair/ service I need to stall the machine for min 30 days.  How can I move ahead with this machine. Request Mahindra either to  refund me or to demonstrate the automated working of  rotavator.  Transmission oil leakage,  engine over heating, front differential oil leakage are  extra benefits for me .  Dear Mahindra ..for you it is first time  revolutionary technology in our country and revenue, but for me loss of money and  feels like getting cheated .Financier for this machine is Mahindra Finance. So you earn  two revenue. As a farmer I request / wish to get my money back , and I believe i will,  because I am sharing my grievance to an industrialist not to a business man.                                                                      Posted on 18.09.2020.   Kerala . 9947649776"
3970,"Dear Mahindra            Because of  this exciting feature ( Position Auto control) of JIVO 365 tractor,I brought this machine in March 2019. Mahindra claims “with PAC, the Rotavator can automatically adjust the puddling depth, without any need for adjustment to PC  lever”. For a tractor driver/ farmer this feature matters more. Later I realized this feature is bogus. After repeated complaints technical staff from direct Mahindra came for inspection after 3 months from delivery .  But they were not able to rectify the same. Still the complaint stays  unrectified. Another thing , parts are not available for this machine. For the last one month the machine is with dealer work shop . For every part we have to wait  for it to reach from the plant -dealer says.  For every repair/ service I need to stall the machine for min 30 days.  How can I move ahead with this machine. Request Mahindra either to  refund me or to demonstrate the automated working of  rotavator.  Transmission oil leakage,  engine over heating, front differential oil leakage are  extra benefits for me .  Dear Mahindra ..for you it is first time  revolutionary technology in our country and revenue, but for me loss of money and  feels like getting cheated .Financier for this machine is Mahindra Finance. So you earn  two revenue. As a farmer I request / wish to get my money back , and I believe i will,  because I am sharing my grievance to an industrialist not to a business man.                                                                      Posted on 18.09.2020.   Kerala . 9947649776"
3971,1 hour me kitna diesel pita hai?
3972,Mp me kyo nahi launch karte
3973,"Mahindra ke tractor maharashtra me nahi chalte kya koi bhi videos maharashtra se nhi bnate hai mahindra team ,🍄😠😡"
3974,Mm Arjun Novo 605diilaand mm 575DC Maharashtramein ahmare yeha mm575Di sarpnch chlta he to plz company Jo bolo DC vallDiya Karo plz rekvesthe
3975,Mahindra 605 di 4w
3976,I love you❤❤
3977,Aaise Hoga kabhi
3978,Hello
3979,Mahindra 575xp plus I love Mahindra tractor 💪💪💪💪💪💪💪👍👍👍👍👍👍👍👌👌👌👌👌👌🌹🌹🌹🌹🌹🌹💐💐💐💐💐💐💐🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳
3980,Sikander 22 ❤❤👌
3981,Mahindra 585 ka aad daliye
3982,महिंद्रा ट्रॅक्टर वाले फसवतात मी ट्रॅक्टर घेऊन 5 महिने झाले तरी मला bumper v hood dile Nahi .
3983,मी घेतला हा ट्रॅक्टर पण bumper v tap dilacha Nahi showroom walya ni
3984,Bhai 10feet rotovter kichead me 1hour mekithana mailage deyega
3985,My Sonalika my Sonalika is is 55 horsepower your Mahindra is only 40 horsepower my Sonalika is number one tractor and Worlds world's biggest plant my Sonalika Sikandar is number 1 tractor 55 horsepower Mahindra is very bad very bad very bad is good good good my Sonalika is good my Sonalika is good
3986,Where was the sarpanch tractors ?
3987,महिंद्रा ट्रैक्टर वालों को चाहिए कि यह जो एक्सपी प्लस सीरीज है इसमें साइलेंसर और उसका जो हवा लेने वाला होता है एयर क्लीनर वह साइड में कर दें ताकि बोनेट खोलने में आसानी हो और साइलेंसर और एयरक्लीनर को निकालने का झंझट खत्म हो जाए कृपया विचार करेंकंपनी को भी अधिक खर्च करने की आवश्यकता नहीं है उससे बहुत बड़ी बिक्री पर फर्क पड़ेगा यकीन मानिए मैं मदारा गांव से हूं यहां पर महिंद्रा ट्रैक्टर हैं और सभी का यही राय है डिस्टिक हरदोई उत्तर प्रदेश
3988,"Mahindra Novo ki Front Look Bekaar Hai 👎🏻,
Eski Look Arjun-555 Wali Honi Chahiye 👌🏻,
Ya Mahindra-555 ke Flat-Platefarm Aana chahiye. ✅"
3989,"Mahindra Novo ki Front Look Bekaar Hai 👎🏻,
Eski Look Arjun-555 Wali Honi Chahiye 👌🏻,
Ya Mahindra-555 ke Flat-Platefarm Aana chahiye. ✅"
3990,"Mahindra Novo ki Front Look Bekaar Hai 👎🏻,
Eski Look Arjun-555 Wali Honi Chahiye 👌🏻,
Ya fir Mahindra-555 mein Bhi Flat-Platefarm Aana chahiye. ✅"
3991,"Mahindra Novo ki Front Look Bekaar Hai 👎🏻,
Eski Look Arjun-555 Wali Honi Chahiye 👌🏻.
Ya Mahindra-555 ke bhi Flat-Platefarm Aana chahiye. ✅"
3992,"Eski Front Look Bekaar Hai 👎🏻,
 Eski Look Arjun-555 Wali Honi Chahiye 👌🏻.
Ya Mahindra-555 ke bhi Flat-Platefarm Aana chahiye. ✅"
3993,"Mahindra Novo ki Front Look Bekaar Hai,
Eski Look Arjun-555 Wali Honi Chahiye, 
Ya Mahindra-555 ke bhi Flat-Platefarm Aana chahiye ✅."
3994,"Mahindra Novo ki Look Mein Kamee hai 👎🏻,
Eski Look Arjun-555 Wali Honi Chahiye thi 👌🏻,
Ya Mahindra-555 bhi Flat-Platefarm mein Aana chahiye sir. ✅
Reply 🙏🏻 Please ‼️."
3995,Ssuuppprr
3996,Mahenbra  605   m 9687952035
3997,Mileage plz tell me
3998,arjun novo di-ps ko 4wd banavo......
3999,Ye trator hamko Lena hai price
4000,Mm575DCdena
4001,ठठॅ
4002,Price ka h
4003,Arjun novo 605 di i ka sahi price kya h
4004,I ❤️ mahindra vehicles😘
4005,Mahindra tractor  https://youtu.be/tlUbu9XRb8Y
4006,Or mahindra tractor k baare m janana ho to
4007,"Dislike for another flag, why mahindra u allow"
4008,Why Australian 🇦🇺 flag 🤔
4009,👌👌👌👌👌👍👍💪💪💪
4010,हमारे यहाँ Tractors पर सभी प्रकार के Front and Back Loader & Dozer & Post hole digger machine बनाई जाती है बनवाने के लिये सम्पर्क करे +918445011010 https://www.youtube.com/channel/UCA4hkyK0My6Yr1uaqsZXeyQ
4011,Nice
4012,Mahindra is good
4013,"very nice

https://youtu.be/ARDz6UsliJ4

eicher 485 vs mahindra yuvo 415"
4014,"very nice

https://youtu.be/ARDz6UsliJ4

eicher 485 vs mahindra yuvo 415"
4015,"very nice

https://youtu.be/ARDz6UsliJ4

eicher 485 vs mahindra yuvo 415"
4016,"very nice

https://youtu.be/ARDz6UsliJ4

eicher 485 vs mahindra yuvo 415"
4017,I love Mhindra
4018,"john deere...new holland.,....escorts.....tafe me 52 hp ko 4wheel milegel...mahindra ko nahi"
4019,arjun novo 605 di-ps me 4 wheel option layiye.....
4020,Jar koi chota kisan ta kade leea nhi sakda mehnga bahut va
4021,very nice
4022,Sir ye tractor 50 hp me banao isi look me
4023,मेरे पास भी है
4024,Superb model 👌👌
4025,Swaraj 724 copy ki gai
4026,Manjunata Mullur
4027,Mahindra 585 di sp plus kan aanewal hai plese replay me
4028,"Bhai 
Koi btaiyega mahindra 475di xp plus ka on road price
Muzaffarpur bihar ka"
4029,Mahindra 475 Di SP Plus me reverse PTO hai ki nhi plz jankari jarur de
4030,Mahenbra 605
4031,Proud of shahaji patil 👍👍
4032,इस टैक्टर में हिटगारड लगाओ
4033,Please phone no
4034,Mahindra yuvo 575 tractor lena hai 8186897807
4035,Mahindra
4036,VIPINMISTY734@EMAIL.COM. 9470093588
4037,Mahindra je  aap tractor  bad new mila
4038,इतना मत फेका कर  744 के सामने इसकी कुछ पावर नहीं है जब खायेगा ही नहीं तो काम क्या करेगा जब देखो तब माईलेज माईलेज करते रहते हो मेरे पास 575  744 दोनों है भाई कृपया सोच समझ कर फेको  यार
4039,Matalab ki sabse jyada Mahindra tractor hi kharab hota hai
4040,Price kitani hai
4041,Mahenbra
4042,Baskar pagle rulayega kya😂😂😂😂😂😂
4043,Nise
4044,रूंदी किती फूट आहे
4045,Mahindar Best Tricater Superrr
4046,মাহিন্দ্রা অফিসের চট্টগ্রাম বিভাগ এরিয়া ম্যানেজার মোঃ নং দরকার
4047,605 দরকার 01789357273
4048,Tractor on road price bro please
4049,On road price bro please
4050,Nice
4051,4wd का लोडर का आगे के चका कराउन  बहुत अधिक तोर रहा है उसका समान नहीं मिलरहा अब कोई हमारे यहा महेनदरा नही ले गा साहब  बताईए ईसका समान कहा मिलेगा बताईऐ  न.8795707266;9696676851
4052,Hindi bolo
4053,Mera mahandara mera mera pariwar
4054,نحن نمتلك جرار مهيندراه اريد نصائح ارجو رد
4055,Do it in English or Telugu as well
4056,Excellent knowledge sharing for our Indian farmers
4057,Sanjay mistri West Bengal vuvo 475ase
4058,"Kisano ka vishvas
Kisano ki shan
Kisano ka sathi
Kisano ka mahindra"
4059,Mahindra tactor  nice
4060,575 कितने एचपी का है महिंद्रा ट्रैक्टर और क्या रेट है 9799533435
4061,Mahindra tractors are the best 👍👍
4062,Mahindra Tractor Is Very Good Tractor
4063,Front axle center pin weak hai
4064,Nice
4065,Really nice products for all farmers brother 🙏
4066,585 xp plus me saide giyar hona or liftometic or flet palet farm ho or epi hota powar string oil alg hona tha or deshbord youvo wala hota or Shtal shift giyar hota to mza Ajata
4067,सर महिंद्र एक्सपी प्लस टैक्टर में आपको बोनेट में चेंज कर दीजिएइसने बोनट खोलने से पहले एयर क्लीनर और साइलेंसर को निकालना होता है जोकि बहुत गर्म हो जाते हैं खासकर चलन सर अगर यह साइट से दे दे तो बड़ी मेहरबानी होगी और ट्रैक्टर में एक नया मोड़ एक नया सिस्टम आएगा ट्रैक्टर में पानी देखने का
4068,Congratulations
4069,"सर मेरा सवाल यदि इंजन में कोई प्रॉब्लम हो जाए तो 6 साल की वारंटी होती है
तो क्या उसे फ्री में ठीक कर कर दोगे
ठीक करने के बाद 1 वर्ष के बाद या फिर से प्रॉब्लम होती है तो क्या फिर से ठीक कर कर देते हो आप क्या 
इस पर थोड़ा विस्तार से बताएं"
4070,Mera mahindra meri san
4071,Mai bhi Mahindra company me job karna chahta hu
4072,राम राम सा।
4073,mahindra kishan mahotsaw Rajasthan
4074,सर मैं एकआम कीसान हु मुझे टेक्टेर चाहिए धन्यवाद जय किसान जय महीन्दरा9636045416
4075,थैंक्स धन्यवाद
4076,Jai mahindra
